"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
5e+06,1.9,0.55,3,2083.61842105263
5e+06,1.9,0.55,5,3472.69736842105
5e+06,1.9,0.6,1,751.736842105263
5e+06,1.9,0.6,3,2255.21052631579
5e+06,1.9,0.6,5,3758.68421052632
5e+06,1.9,0.65,1,808.934210526316
5e+06,1.9,0.65,3,2426.80263157895
5e+06,1.9,0.65,5,4044.67105263158
5e+06,1.9,0.7,1,866.131578947368
5e+06,1.9,0.7,3,2598.39473684211
5e+06,1.9,0.7,5,4330.65789473684
5e+06,1.9,0.75,1,923.328947368421
5e+06,1.9,0.75,3,2769.98684210526
5e+06,1.9,0.75,5,4616.64473684211
5e+06,1.9,0.8,1,980.526315789474
5e+06,1.9,0.8,3,2941.57894736842
5e+06,1.9,0.8,5,4902.63157894737
5e+06,1.9,0.85,1,1037.72368421053
5e+06,1.9,0.85,3,3113.17105263158
5e+06,1.9,0.85,5,5188.61842105263
5e+06,2.3,0.5,1,760.5
5e+06,2.3,0.5,3,2281.5
5e+06,2.3,0.5,5,3802.5
5e+06,2.3,0.55,1,828.75
5e+06,2.3,0.55,3,2486.25
5e+06,2.3,0.55,5,4143.75
5e+06,2.3,0.6,1,897
5e+06,2.3,0.6,3,2691
5e+06,2.3,0.6,5,4485
5e+06,2.3,0.65,1,965.25
5e+06,2.3,0.65,3,2895.75
5e+06,2.3,0.65,5,4826.25
5e+06,2.3,0.7,1,1033.5
5e+06,2.3,0.7,3,3100.5
5e+06,2.3,0.7,5,5167.5
5e+06,2.3,0.75,1,1101.75
5e+06,2.3,0.75,3,3305.25
5e+06,2.3,0.75,5,5508.75
5e+06,2.3,0.8,1,1170
5e+06,2.3,0.8,3,3510
5e+06,2.3,0.8,5,5850
5e+06,2.3,0.85,1,1238.25
5e+06,2.3,0.85,3,3714.75
5e+06,2.3,0.85,5,6191.25
5e+06,2.7,0.5,1,847.166666666667
5e+06,2.7,0.5,3,2541.5
5e+06,2.7,0.5,5,4235.83333333333
5e+06,2.7,0.55,1,923.194444444445
5e+06,2.7,0.55,3,2769.58333333333
5e+06,2.7,0.55,5,4615.97222222222
5e+06,2.7,0.6,1,999.222222222222
5e+06,2.7,0.6,3,2997.66666666667
5e+06,2.7,0.6,5,4996.11111111111
5e+06,2.7,0.65,1,1075.25
5e+06,2.7,0.65,3,3225.75
5e+06,2.7,0.65,5,5376.25
